"l_proj_short";"year_samp";"c_sp_fao";"l_sex_short";"v_fl";"v_wt"
"CANAL";2013;"SKJ";"";33.2;0.6
"CANAL";2013;"SKJ";"F";40;1.2
"CANAL";2013;"SKJ";"F";38.4;1.1
"CANAL";2013;"SKJ";"";39.4;1.2
"CANAL";2013;"SKJ";"";36.3;0.7
"CANAL";2013;"SKJ";"F";40.1;1.2
"CANAL";2013;"SKJ";"";37;0.8
"CANAL";2013;"SKJ";"M";50.9;2.4
"CANAL";2013;"SKJ";"";34;0.7
"CANAL";2013;"SKJ";"";34.3;0.7
"CANAL";2013;"SKJ";"M";48.4;2.3
"CANAL";2013;"SKJ";"F";51.3;2.6
"CANAL";2013;"SKJ";"";35.2;0.8
"CANAL";2013;"SKJ";"";33.7;0.7
"CANAL";2013;"SKJ";"";34.3;0.7
"CANAL";2013;"SKJ";"M";50.5;2.4
"CANAL";2013;"SKJ";"M";48.2;1.9
"CANAL";2013;"SKJ";"M";52.2;2.8
"CANAL";2013;"SKJ";"";36.2;0.9
"CANAL";2013;"SKJ";"M";45.5;1.7
"CANAL";2013;"SKJ";"M";48.3;2
"CANAL";2013;"SKJ";"M";48.4;2.3
"CANAL";2013;"SKJ";"F";48.2;2
"CANAL";2013;"SKJ";"F";47.8;2.1
"CANAL";2013;"SKJ";"F";63.7;5.4
"CANAL";2013;"SKJ";"F";49;2.3
"CANAL";2013;"SKJ";"F";70.9;8.1
"CANAL";2013;"SKJ";"F";46.6;2.1
"CANAL";2013;"SKJ";"F";50.5;2.5
"CANAL";2013;"SKJ";"M";46.5;2
"CANAL";2013;"SKJ";"M";46.1;2.1
"CANAL";2013;"SKJ";"F";48.3;2.2
"CANAL";2013;"SKJ";"M";53.2;3.1
"CANAL";2013;"SKJ";"M";51.9;3.2
"CANAL";2013;"SKJ";"F";67.7;6.9
"CANAL";2013;"SKJ";"M";62.2;5.5
"CANAL";2013;"SKJ";"F";48.7;2.5
"CANAL";2013;"SKJ";"F";51.8;2.6
"CANAL";2013;"SKJ";"F";48.2;2.2
"CANAL";2013;"SKJ";"F";47.3;2.1
"CANAL";2013;"SKJ";"M";49.9;2.4
"CANAL";2013;"SKJ";"F";45.9;2
"CANAL";2013;"SKJ";"M";63.9;6.4
"CANAL";2013;"SKJ";"F";56.6;4.2
"CANAL";2013;"SKJ";"M";62.8;5.5
"CANAL";2013;"SKJ";"F";62.4;6
"CANAL";2013;"SKJ";"F";61.9;5.4
"CANAL";2013;"SKJ";"M";60.9;5.4
"CANAL";2013;"SKJ";"F";60.6;5.2
"CANAL";2013;"SKJ";"";40.1;1.2
"CANAL";2013;"SKJ";"";38.8;1.1
"CANAL";2013;"SKJ";"";38.1;1
"CANAL";2013;"SKJ";"M";42.2;1.6
"CANAL";2013;"SKJ";"F";39.1;1.2
"Liver test";2013;"SKJ";"M";66.4;7.2
"CANAL";2013;"SKJ";"F";54.3;3.9
"CANAL";2013;"SKJ";"F";53.9;3.6
"CANAL";2013;"SKJ";"F";43;1.6
"CANAL";2013;"SKJ";"F";57;4
"CANAL";2013;"SKJ";"F";62.6;5.6
"CANAL";2013;"SKJ";"F";55.4;3.6
"CANAL";2013;"SKJ";"";39.1;1.2
"CANAL";2013;"SKJ";"F";60.6;5.5
"CANAL";2013;"SKJ";"M";60.5;5.1
"CANAL";2013;"SKJ";"M";66.1;7.4
"CANAL";2013;"SKJ";"M";62.8;6.4
"CANAL";2013;"SKJ";"F";47;2.3
"CANAL";2013;"SKJ";"F";42.3;1.7
"CANAL";2013;"SKJ";"M";48;2.3
"CANAL";2013;"SKJ";"M";43.4;1.8
"CANAL";2013;"SKJ";"M";49.3;2.4
"IOT_quality";2014;"SKJ";"";49.3;2.5
"IOT_quality";2014;"SKJ";"";49;2.2
"IOT_quality";2014;"SKJ";"";46.2;2.3
"IOT_quality";2014;"SKJ";"";52.4;3
"IOT_quality";2014;"SKJ";"";54.4;3.3
"IOT_quality";2014;"SKJ";"";54.2;3.5
"IOT_quality";2014;"SKJ";"";49.5;2.4
"IOT_quality";2014;"SKJ";"";51.2;2.7
"IOT_quality";2014;"SKJ";"";50.8;2.5
"CANAL";2014;"BET";"M";81;12.1
"CANAL";2014;"BET";"F";98.4;21.7
"CANAL";2014;"BET";"M";90.7;18
"CANAL";2014;"BET";"F";113.8;26.3
"IOT_quality";2014;"SKJ";"";52.3;3
"IOT_quality";2014;"SKJ";"";52.8;3.1
"IOT_quality";2014;"SKJ";"";52.5;3
"CANAL";2014;"ALB";"F";94.1;20.9
"CANAL";2014;"YFT";"F";56.5;3.8
"CANAL";2014;"YFT";"M";49.4;2.6
"CANAL";2014;"YFT";"";39.9;1.3
"CANAL";2014;"YFT";"";33.3;0.7
"CANAL";2014;"YFT";"";31.8;0.6
"CANAL";2014;"YFT";"";30;0.6
"CANAL";2014;"YFT";"M";92.4;16.4
"CANAL";2014;"YFT";"M";80.9;10.4
"CANAL";2014;"YFT";"F";96.7;20
"CANAL";2014;"YFT";"M";94.4;18
"CANAL";2014;"YFT";"F";72.6;7.8
"CANAL";2014;"YFT";"M";52.2;2.9
"CANAL";2014;"YFT";"M";51.3;2.6
"CANAL";2014;"YFT";"M";48.4;2.1
"CANAL";2014;"YFT";"M";45.9;1.8
"CANAL";2014;"YFT";"F";131.4;46.1
"CANAL";2014;"YFT";"F";135.8;44.6
"CANAL";2014;"SKJ";"";35.5;0.9
"CANAL";2014;"SKJ";"M";42.7;1.7
"CANAL";2014;"SKJ";"M";43.9;1.8
"IOT_quality";2014;"SKJ";"F";47.1;2.2
"IOT_quality";2014;"SKJ";"F";48.3;2.5
"IOT_quality";2014;"SKJ";"M";51.3;2.7
"IOT_quality";2014;"SKJ";"M";60.4;5.4
"IOT_quality";2014;"SKJ";"M";58.4;4.6
"IOT_quality";2014;"SKJ";"F";45.4;1.8
"IOT_quality";2014;"SKJ";"F";48.9;2.1
"IOT_quality";2014;"SKJ";"M";52.7;3
"IOT_quality";2014;"SKJ";"F";58.5;4.7
"CANAL";2014;"YFT";"F";138;48.3
"CANAL";2014;"SKJ";"F";45.3;1.7
"CANAL";2014;"SKJ";"M";46;1.7
"CANAL";2014;"SKJ";"F";45.7;1.8
"CANAL";2014;"SKJ";"M";52;3.2
"CANAL";2014;"SKJ";"F";62;6.2
"CANAL";2014;"SKJ";"M";63.8;6
"CANAL";2014;"SKJ";"";30;0.5
"CANAL";2014;"SKJ";"";31.2;0.6
"CANAL";2014;"SKJ";"F";31.5;0.6
"CANAL";2014;"SKJ";"";31;0.5
"CANAL";2014;"SKJ";"";31.3;0.6
"CANAL";2014;"SKJ";"";34.7;0.8
"CANAL";2014;"BET";"M";111.1;31.7
"CANAL";2014;"BET";"F";113.2;32
"CANAL";2014;"BET";"M";115.4;31.5
"CANAL";2014;"BET";"M";115;35.5
"CANAL";2014;"BET";"F";116.9;36.3
"CANAL";2014;"BET";"F";125.5;44.3
"CANAL";2014;"BET";"M";124.3;43.3
"CANAL";2014;"BET";"M";123.6;46.4
"CANAL";2014;"BET";"F";152.5;72
"CANAL";2014;"BET";"F";124;42.3
"CANAL";2014;"BET";"";29.5;0.5
"CANAL";2014;"BET";"";36.1;1.1
"CANAL";2014;"BET";"";36.1;1.1
"CANAL";2014;"BET";"";51.5;3.1
"CANAL";2014;"BET";"M";54;3.7
"CANAL";2014;"BET";"M";86.3;14.5
"CANAL";2014;"BET";"F";90.1;17
